"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","DE"
"Zic1",4.88100302608241,1.47168892733487,0.674047483452796,2.18336091071236,0.0290092421913618,0.99996697399753,"Zic1","up"
"Plscr4",5.87254019032792,1.34126694319956,0.616953346427848,2.17401680526652,0.0297038731415805,0.99996697399753,"Plscr4","up"
"Camkv",74.9339692081741,0.492795265774818,0.185728391771916,2.65331143544276,0.00797062912319088,0.99996697399753,"Camkv","up"
"Amt",7.60019939072745,-1.09337941288409,0.555215429625947,-1.96928859419615,0.0489199602089494,0.99996697399753,"Amt","down"
"Usp4",113.161845281601,0.321036310174359,0.148672141478163,2.15935754326585,0.0308224390499391,0.99996697399753,"Usp4","up"
"Setd2",303.436463835044,-0.213711175062348,0.101189280181641,-2.11199422190496,0.0346869448979305,0.99996697399753,"Setd2","down"
"Exog",49.9286926910224,-0.757805852979899,0.216914845407437,-3.49356380637062,0.000476619071072951,0.243344579960624,"Exog","down"
"Rpsa",53.5684453801945,0.807324969656856,0.217453681418063,3.71262957882393,0.000205116984740055,0.126875110910961,"Rpsa","up"
"Gpc5",806.634213056724,0.331569226383514,0.112536892381925,2.94631582022226,0.00321583869959439,0.795662811053644,"Gpc5","up"
"Klhl1",267.210127603783,-0.251826226855873,0.121928525399512,-2.0653594065108,0.0388890064604428,0.99996697399753,"Klhl1","down"
"Dgkh",87.2400634792358,0.567105754628991,0.181879688405238,3.11802686491,0.0018206620700267,0.592721328113167,"Dgkh","up"
"Msra",87.0913761455758,0.524747486522289,0.190715124153342,2.75147285173028,0.00593279371620232,0.981179530278015,"Msra","up"
"Emc9",20.7008403447309,0.772314135703668,0.332016707651416,2.32613033593032,0.0200115986478334,0.99996697399753,"Emc9","up"
"Sall2",10.93704847064,1.11244769693461,0.445102760356113,2.49930532006717,0.0124437049260847,0.99996697399753,"Sall2","up"
"Anxa11",2.76219638966821,1.84210197056385,0.937533470284982,1.96483862064562,0.0494329186490546,NA,"Anxa11","up"
"Chat",1.58273873180928,-3.84903995381757,1.50058391273943,-2.56502813414203,0.0103167439408175,NA,"Chat","down"
"Tspan14",12.7980799759423,0.843320837047341,0.419302277707675,2.01124792752802,0.0442992756813974,0.99996697399753,"Tspan14","up"
"Wfs1",4.74705856391203,-1.62033085484784,0.790755243555981,-2.04909277308274,0.0404530440410369,0.99996697399753,"Wfs1","down"
"Osbp2",50.3717636198989,0.436370415684193,0.220914515865004,1.97529082222397,0.048235154161235,0.99996697399753,"Osbp2","up"
"Vwc2",228.882765263722,-0.299022842009291,0.133706295079179,-2.23641558411453,0.02532456125307,0.99996697399753,"Vwc2","down"
"Ikzf1",3.39123621516215,1.63464579944654,0.819135619554227,1.9955740666437,0.0459803046658154,NA,"Ikzf1","up"
"Sel1l3",48.6035024104869,0.626288876343426,0.21797402212684,2.87322714070481,0.00406301881521219,0.866481932204919,"Sel1l3","up"
"Fam114a1",1.35883524167184,3.27759796209748,1.44463357870151,2.26880920561427,0.0232799309260298,NA,"Fam114a1","up"
"N4bp2",286.370558293921,-0.281123966310888,0.108705939474433,-2.58609573377548,0.00970699654562852,0.99996697399753,"N4bp2","down"
"Atp8a1",564.852683720636,-0.209238701890945,0.0889484907809699,-2.35235809010163,0.0186548064382139,0.99996697399753,"Atp8a1","down"
"Slain2",59.9106899780036,-0.423890621905765,0.208468665930038,-2.03335412549732,0.0420167585108568,0.99996697399753,"Slain2","down"
"Hopx",6.92173422808844,1.32070071213908,0.554819482655571,2.38041516822322,0.0172931422637711,0.99996697399753,"Hopx","up"
"Slc4a4",142.201438116627,0.345839927343563,0.167144673149405,2.06910528960997,0.0385362074756979,0.99996697399753,"Slc4a4","up"
"Sparcl1",310.347712069171,0.216992858108193,0.0987214120323194,2.19803235834141,0.0279468001031227,0.99996697399753,"Sparcl1","up"
"Lrrc8b",40.4030984542259,0.544420776556461,0.240276786343618,2.26580680073642,0.023463214820092,0.99996697399753,"Lrrc8b","up"
"Dsel",42.8232594222691,-0.479274324567187,0.230629915379366,-2.07810996148883,0.0376992323741858,0.99996697399753,"Dsel","down"
"Ralb",12.8131423533632,-0.902510932648903,0.457023499422384,-1.97475826470533,0.0482955873608218,0.99996697399753,"Ralb","down"
"Thsd7b",388.209170462674,-0.281856308437987,0.123175892068629,-2.28824247752106,0.0221234042810677,0.99996697399753,"Thsd7b","down"
"Sox13",23.8352033855903,1.15506205702354,0.305259423775952,3.78387026593914,0.000154408331574226,0.109529947733017,"Sox13","up"
"Tnnt2",1.04498540956192,-3.24852949496642,1.61866281012994,-2.00692168537908,0.0447580024308716,NA,"Tnnt2","down"
"Nek7",38.3726825525034,0.563255168035645,0.276589297252845,2.03643153813267,0.0417070412134053,0.99996697399753,"Nek7","up"
"Brinp3",1450.07088896575,-0.171904903366582,0.0834417693435251,-2.06017807051597,0.039381520550842,0.99996697399753,"Brinp3","down"
"Rgs16",3.48666339145789,2.138928087139,0.928984740948011,2.30243618959367,0.0213105860684795,NA,"Rgs16","up"
"Prdx6",71.0798596335327,0.450481260596308,0.188462604075721,2.39029521429786,0.0168348347059229,0.99996697399753,"Prdx6","up"
"Adcy10",10.0588559474329,-1.0992653954673,0.537470202983579,-2.0452583033722,0.0408293991694262,0.99996697399753,"Adcy10","down"
"Rcsd1",3.37139932091551,2.20962670872883,0.882382677738472,2.50415920946233,0.012274278757718,NA,"Rcsd1","up"
"Ildr2",91.9534303849598,0.961386527446322,0.21973861223805,4.37513697594858,1.21356249205179e-05,0.0300259631783453,"Ildr2","up"
"Lmx1a",3.83565861703188,-4.37053665552014,1.26448412920518,-3.45637920996867,0.000547484519621633,NA,"Lmx1a","down"
"Sccpdh",175.164819937445,0.527832780343737,0.184077525256385,2.86744826457529,0.00413796452319858,0.866481932204919,"Sccpdh","up"
"Stum",11.7165436984328,1.24084796739412,0.518407743069542,2.39357529663223,0.0166850562212542,0.99996697399753,"Stum","up"
"Parp1",32.2567526517407,0.56706458719286,0.263972740720648,2.14819373259818,0.0316983683929571,0.99996697399753,"Parp1","up"
