"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","DE"
"Ubqln2",2.24870374339966,2.57193602906162,1.0977748414245,2.34286297336183,0.0191364098160478,0.99989660795273,"Ubqln2","up"
"Clcn4",9.87613633380841,1.04247528048997,0.463353433803232,2.24984904489274,0.0244585294626791,0.99989660795273,"Clcn4","up"
"Ca5b",15.754485408526,-1.14151275667372,0.37631981892902,-3.03335806209299,0.0024184845212047,0.99989660795273,"Ca5b","down"
"Zc3h12b",56.025105950433,0.468330278775598,0.227478050170184,2.05879327005496,0.0395140466538787,0.99989660795273,"Zc3h12b","up"
"Ar",9.73363882549073,-1.03981005892504,0.507446970838337,-2.04910092813679,0.0404522467635048,0.99989660795273,"Ar","down"
"Pcdh11x",96.64234768187,-0.575599010164576,0.245690905866749,-2.34277702763957,0.0191408182602201,0.99989660795273,"Pcdh11x","down"
"Tmem35a",1.35649309031361,-3.19692373442031,1.39472646753513,-2.29215104813359,0.0218969285578028,0.99989660795273,"Tmem35a","down"
"Irs4",9.95098362002526,-0.982701391560085,0.494435834362693,-1.98752057044317,0.0468647386630286,0.99989660795273,"Irs4","down"
"Ssr4",10.3096402631339,1.24209434684954,0.511688330792881,2.4274431760538,0.015205668648998,0.99989660795273,"Ssr4","up"
"Cntn5",321.54908158257,0.473023717760477,0.229732800805445,2.05901689311257,0.0394926202188264,0.99989660795273,"Cntn5","up"
"Fat3",117.294917869781,-0.477062087291252,0.16606693568951,-2.87270964150985,0.00406967963794012,0.99989660795273,"Fat3","down"
"Hspa8",18.9811816569981,0.722048607755025,0.36652780046437,1.96996955439732,0.0488418599618659,0.99989660795273,"Hspa8","up"
"Arpp21",41.0186982381354,0.724244620688146,0.301662709531051,2.4008423905428,0.0163573800868502,0.99989660795273,"Arpp21","up"
"Cmtm6",15.1079479684012,-0.95442239893819,0.466976769976486,-2.04383271353359,0.040970076196871,0.99989660795273,"Cmtm6","down"
"Ccdc122",1.66604537671075,3.34317757144388,1.32096635009531,2.53085748263205,0.0113784070668633,0.99989660795273,"Ccdc122","up"
"Ebf2",9.0367463676015,2.88600434555186,1.27550093378019,2.26264385161886,0.0236576526244746,0.99989660795273,"Ebf2","up"
"Msra",17.3393023456246,0.784955092944725,0.391226975925255,2.00639306910854,0.0448143272091536,0.99989660795273,"Msra","up"
"Cab39l",49.0202025278435,0.51666195837264,0.231205822347646,2.23464077645837,0.0254409415653974,0.99989660795273,"Cab39l","up"
"Ppp1r3e",1.33649169464817,-3.04052884993123,1.4104853304137,-2.1556614481339,0.0311101105738697,0.99989660795273,"Ppp1r3e","down"
"Mapk8",38.250526503287,-0.52978012563539,0.26493505859232,-1.99966032600695,0.0455369550116278,0.99989660795273,"Mapk8","down"
"Thrb",21.0910567752407,0.749092692080462,0.350233329758831,2.1388389637168,0.032448712657185,0.99989660795273,"Thrb","up"
"Ldb2",88.1650367574982,0.585910701876998,0.211368426549977,2.77198781029134,0.00557151228949033,0.99989660795273,"Ldb2","up"
"Atp8a1",164.292527969064,-0.313482244675255,0.148089151941454,-2.11684813212508,0.0342727388759375,0.99989660795273,"Atp8a1","down"
"Tmem165",7.45544000212987,1.09145178422082,0.53704821951451,2.03231617676247,0.0421216578364401,0.99989660795273,"Tmem165","up"
"Adamts3",2.63917458441571,-2.54380022291232,1.17675548125096,-2.16170671260278,0.0306407899100176,0.99989660795273,"Adamts3","down"
"Btc",4.0494477565986,-1.80971606588618,0.854706020467337,-2.11735499990589,0.0342297303081619,0.99989660795273,"Btc","down"
"Rchy1",9.95420068528181,-1.08935624035597,0.471514159892757,-2.31033621684604,0.0208695473323716,0.99989660795273,"Rchy1","down"
"Blacat1",1.87518274530988,2.3915299872985,1.18771404527273,2.01355704836288,0.0440560597687428,0.99989660795273,"Blacat1","up"
"Nek7",13.8436187980628,0.910462540572249,0.415486660947445,2.19131593417728,0.0284289377705412,0.99989660795273,"Nek7","up"
"Rgs2",6.7714813364458,-1.12223578012154,0.559591329148197,-2.00545598486987,0.044914321724178,0.99989660795273,"Rgs2","down"
"Ildr2",20.3092940159462,0.907906843096313,0.382335506038937,2.3746338719686,0.0175663648800043,0.99989660795273,"Ildr2","up"
"Kcnk10",17.3528740594708,1.02663335592566,0.410984047609888,2.49798833287114,0.0124900304473374,0.99989660795273,"Kcnk10","up"
"Kcnk13",6.71236361650458,1.36123014167759,0.652917293201686,2.0848431429999,0.0370835410934284,0.99989660795273,"Kcnk13","up"
"Itpk1",14.1093162416725,0.797866892075246,0.391963469233691,2.03556442041682,0.0417941135824874,0.99989660795273,"Itpk1","up"
"Brf1",10.0904847060202,-0.942286869373053,0.452926650131514,-2.08044032979611,0.0374851633642069,0.99989660795273,"Brf1","down"
"Fcf1",7.84354817495513,1.1610788973804,0.545833704507388,2.12716599908075,0.0334062931082515,0.99989660795273,"Fcf1","up"
"Dpf3",13.211947193565,0.883426666047747,0.422383604802266,2.09152688694277,0.0364808588164148,0.99989660795273,"Dpf3","up"
"Rgs6",90.7586979519654,0.567011314665754,0.187112034803133,3.03033054641475,0.0024428622384499,0.99989660795273,"Rgs6","up"
"Prkch",3.18156451350092,2.67223551711132,1.17530530751742,2.27365221616828,0.0229869053012022,0.99989660795273,"Prkch","up"
"Iqcg",6.64360741419083,-2.90552967928703,1.36782253603984,-2.1242007663503,0.0336533591843782,0.99989660795273,"Iqcg","down"
"Rpl35a",48.4023369049409,-0.948433317207323,0.258213953790094,-3.67305214643172,0.000239670550032121,0.836570054887117,"Rpl35a","down"
"Adprh",6.36891917008595,-1.17894297807103,0.60073570785719,-1.96249858740093,0.0497044649116453,0.99989660795273,"Adprh","down"
"Rpl24",12.2966977534101,-0.924448724655645,0.410091473030804,-2.25425005261255,0.0241804415853406,0.99989660795273,"Rpl24","down"
"Tomm70",18.0099474885241,-0.961023583496989,0.360395533843829,-2.66658016886921,0.00766273281794493,0.99989660795273,"Tomm70","down"
"Epha3",23.7826763169597,-0.630048214631331,0.320815501816649,-1.96389579388659,0.0495421777401195,0.99989660795273,"Epha3","down"
"Ripk4",0.900669499377508,3.25187294177811,1.55617188745201,2.08966179636014,0.0366481911214654,0.99989660795273,"Ripk4","up"
"Piezo2",6.34306593656697,1.53782124934876,0.726657073881184,2.11629571172414,0.0343196652419959,0.99989660795273,"Piezo2","up"
"Dcc",586.673439924314,-0.462890461342939,0.181378087892105,-2.55207487697354,0.0107083502695556,0.99989660795273,"Dcc","down"
"Dnah5",12.0183630627978,-1.19762792450879,0.447520387859245,-2.6761415948841,0.00744751735057704,0.99989660795273,"Dnah5","down"
"Cdh12",362.314806037559,-0.421906852295171,0.183829578209872,-2.29509775523444,0.0217275227053524,0.99989660795273,"Cdh12","down"
"Ghr",122.378608618156,-0.783159935900399,0.203463580183053,-3.84914064323356,0.000118532938631585,0.558379023025811,"Ghr","down"
"Elovl7",10.1419777398409,1.8103428203652,0.521429506182029,3.47188411645662,0.000516819378524065,0.99989660795273,"Elovl7","up"
"Hcn1",77.2964293311452,-0.591168570824138,0.210190793629949,-2.81253313056574,0.00491529596627726,0.99989660795273,"Hcn1","down"
"Cartpt",15.2924642269557,1.75369597985661,0.7965701586937,2.2015587211207,0.0276964944777263,0.99989660795273,"Cartpt","up"
"CUNH6orf89",12.1792006943182,-0.876227923602476,0.437163205171386,-2.00434966446675,0.045032617252253,0.99989660795273,"CUNH6orf89","down"
"Bicc1",7.30202685628746,1.1035439782815,0.560399927055726,1.96920792634537,0.0489292190548618,0.99989660795273,"Bicc1","up"
"Lrrtm3",155.119561874812,-0.436136248270982,0.168199923915356,-2.59296340996242,0.00951528934119847,0.99989660795273,"Lrrtm3","down"
"Npas2",16.1907463452799,1.07231727326015,0.400038400607873,2.68053584763544,0.00735043911219845,0.99989660795273,"Npas2","up"
"Tomm6",7.97852129002584,-1.12740543452067,0.563088671459444,-2.00218099149215,0.0452652692994432,0.99989660795273,"Tomm6","down"
"Greb1",2.12344113261937,2.92796344764514,1.28577970216571,2.27718904157019,0.0227749392490988,0.99989660795273,"Greb1","up"
"Efr3b",39.5662307058651,0.796187002719714,0.244029990748506,3.26266046348481,0.00110371668835414,0.99989660795273,"Efr3b","up"
"Slc8a1",373.647292794991,-0.309249833333881,0.155010298681716,-1.99502765921938,0.046039863272466,0.99989660795273,"Slc8a1","down"
"Arhgap45",0.82065106387032,3.19655226133719,1.6300346674001,1.96103329902528,0.0498751385934312,0.99989660795273,"Arhgap45","up"
"Rnf126",3.71995538749162,-1.63853691262346,0.796484190322797,-2.05721209853443,0.039665828274304,0.99989660795273,"Rnf126","down"
"Sntb1",8.24096113447307,1.34550132913153,0.633042701239326,2.1254511370203,0.0335489871743641,0.99989660795273,"Sntb1","up"
"Cpne8",14.5420553774929,-0.865470075085295,0.395468314627026,-2.18846881804308,0.0286354702112845,0.99989660795273,"Cpne8","down"
"Prph",0.947256356680556,3.2195848686162,1.61553503488128,1.99289077556452,0.0462734086381601,0.99989660795273,"Prph","up"
"Gpd1",1.99105517768972,3.34400655786922,1.29472361420138,2.582795680244,0.00980033436585389,0.99989660795273,"Gpd1","up"
"Calcoco1",8.38194311771726,-1.16786376671291,0.511905806767579,-2.28140363182705,0.0225245733330273,0.99989660795273,"Calcoco1","down"
"Zdbf2",58.6805489340963,-0.480692694646069,0.23211846634016,-2.07089380791287,0.0383687209655567,0.99989660795273,"Zdbf2","down"
"Plcd4",2.3516069532867,2.03137608969925,1.03384262179923,1.96487941865271,0.0494281953552402,0.99989660795273,"Plcd4","up"
"Sned1",5.23333702334859,1.73605653194408,0.731657561957802,2.37277193896372,0.0176551613637795,0.99989660795273,"Sned1","up"
